open,high,low,close,volume,date
76.11,76.55,73.8,73.95,309403.0,2023-02-22
73.92,75.99,73.83,75.39,317687.0,2023-02-23
75.6,76.63,74.09,76.32,313042.0,2023-02-24
76.42,76.82,74.99,75.68,253577.0,2023-02-27
75.76,77.83,75.55,77.05,284234.0,2023-02-28
76.85,77.85,76.12,77.69,321007.0,2023-03-01
77.74,78.59,77.23,78.16,242223.0,2023-03-02
77.89,79.9,75.83,79.68,357286.0,2023-03-03
79.92,80.63,78.32,80.46,279564.0,2023-03-06
80.5,80.94,77.06,77.58,370120.0,2023-03-07
77.32,77.73,76.11,76.66,312187.0,2023-03-08
76.5,78.06,75.43,75.72,323452.0,2023-03-09
75.65,77.11,74.77,76.68,344017.0,2023-03-10
76.6,77.47,72.3,74.8,431915.0,2023-03-13
74.7,74.9,70.78,71.33,410232.0,2023-03-14
71.56,72.56,65.65,67.61,530837.0,2023-03-15
68.22,69.38,65.71,68.35,308897.0,2023-03-16
68.26,69.64,65.17,66.74,136112.0,2023-03-17
66.62,67.7,64.12,67.64,39187.0,2023-03-20
67.62,69.6,66.77,69.33,16807.0,2023-03-21
69.48,71.31,68.89,70.9,324454.0,2023-03-22
69.95,71.67,69.14,69.96,321954.0,2023-03-23
69.51,70.38,66.82,69.26,365300.0,2023-03-24
69.42,73.1,69.13,72.81,328071.0,2023-03-27
72.86,73.93,72.19,73.2,311313.0,2023-03-28
73.61,74.37,72.76,72.97,301521.0,2023-03-29
72.98,74.63,72.61,74.37,255241.0,2023-03-30
74.37,75.72,73.77,75.67,282097.0,2023-03-31
80.1,81.69,79.0,80.42,521245.0,2023-04-03
80.44,81.81,79.61,80.71,315863.0,2023-04-04
81.01,81.24,79.72,80.61,240802.0,2023-04-05
80.37,80.96,79.65,80.7,240865.0,2023-04-06
80.5,81.22,79.61,79.74,238729.0,2023-04-10
79.88,81.59,79.37,81.53,282640.0,2023-04-11
81.44,83.53,81.28,83.26,323826.0,2023-04-12
83.22,83.44,82.11,82.16,233440.0,2023-04-13
82.4,83.12,81.76,82.52,243847.0,2023-04-14
82.48,82.71,80.47,80.83,188708.0,2023-04-17
81.0,81.48,79.87,80.86,75056.0,2023-04-18
80.92,81.19,78.46,79.16,45314.0,2023-04-19
78.87,78.89,76.97,77.29,17443.0,2023-04-20
77.13,78.39,76.72,77.87,275665.0,2023-04-21
77.97,79.18,76.72,78.76,288882.0,2023-04-24
78.74,79.07,76.5,77.07,342165.0,2023-04-25
77.08,77.93,74.05,74.3,472618.0,2023-04-26
74.38,75.28,74.03,74.76,324741.0,2023-04-27
74.91,76.92,73.93,76.78,306818.0,2023-04-28
76.66,76.69,74.53,75.66,199707.0,2023-05-01
75.76,76.11,71.42,71.66,396234.0,2023-05-02
71.56,71.79,67.95,68.6,471507.0,2023-05-03
68.16,69.84,63.57,68.56,387894.0,2023-05-04
68.7,71.81,68.48,71.34,308772.0,2023-05-05
71.35,73.69,71.04,73.16,266120.0,2023-05-08
72.84,73.78,71.34,73.71,293828.0,2023-05-09
73.58,73.89,71.8,72.56,331164.0,2023-05-10
72.77,73.5,70.63,70.87,332273.0,2023-05-11
71.42,71.78,69.93,70.04,255087.0,2023-05-12
70.04,71.69,69.41,71.11,236691.0,2023-05-15
71.32,71.79,70.45,70.86,212335.0,2023-05-16
70.6,73.26,70.04,72.83,249159.0,2023-05-17
72.75,72.87,71.42,71.86,66747.0,2023-05-18
71.94,73.4,71.03,71.55,34589.0,2023-05-19
71.7,72.36,70.55,71.99,13211.0,2023-05-22
72.1,73.79,71.71,72.91,296770.0,2023-05-23
73.77,74.73,73.13,74.34,368539.0,2023-05-24
74.21,74.37,70.98,71.83,393265.0,2023-05-25
71.89,73.05,71.49,72.67,240781.0,2023-05-26
72.98,73.36,69.02,69.46,419762.0,2023-05-30
69.62,69.69,67.03,68.09,411954.0,2023-05-31
67.6,71.07,67.51,70.1,370599.0,2023-06-01
70.21,72.17,70.0,71.74,297490.0,2023-06-02
75.03,75.06,71.73,72.15,363658.0,2023-06-05
71.99,72.33,70.13,71.74,294183.0,2023-06-06
71.56,73.19,71.01,72.53,275610.0,2023-06-07
72.47,73.28,69.03,71.29,458432.0,2023-06-08
70.94,71.77,70.1,70.17,272769.0,2023-06-09
70.27,70.33,66.8,67.12,372965.0,2023-06-12
67.31,69.83,67.15,69.42,325189.0,2023-06-13
69.35,70.49,68.07,68.27,278748.0,2023-06-14
68.7,70.96,67.97,70.62,102956.0,2023-06-15
70.55,71.89,69.95,71.78,57602.0,2023-06-16
70.96,72.09,69.65,70.5,20140.0,2023-06-20
70.9,72.72,70.8,72.53,251474.0,2023-06-21
72.43,72.65,68.93,69.51,406893.0,2023-06-22
69.53,69.65,67.35,69.16,299260.0,2023-06-23
69.84,70.11,68.71,69.37,255921.0,2023-06-26
69.49,70.15,67.5,67.7,364478.0,2023-06-27
68.01,69.73,67.05,69.56,348491.0,2023-06-28
69.25,70.6,68.93,69.86,271262.0,2023-06-29
69.82,71.04,69.53,70.64,281966.0,2023-06-30
70.45,71.77,69.69,69.79,286227.0,2023-07-03
71.02,72.17,70.34,71.79,430013.0,2023-07-05
71.8,72.34,70.22,71.8,376361.0,2023-07-06
71.89,73.92,71.19,73.86,340596.0,2023-07-07
73.86,74.15,72.67,72.99,279846.0,2023-07-10
73.19,74.96,72.98,74.83,300150.0,2023-07-11
74.83,76.15,74.67,75.75,330342.0,2023-07-12
75.85,77.33,75.32,76.89,354764.0,2023-07-13
77.16,77.3,75.11,75.42,260693.0,2023-07-14
75.02,76.09,73.84,74.15,217420.0,2023-07-17
74.18,75.96,73.88,75.75,98121.0,2023-07-18
75.84,76.97,75.07,75.35,53014.0,2023-07-19
75.35,76.15,74.7,75.63,15719.0,2023-07-20
75.7,77.29,75.69,77.07,287769.0,2023-07-21
77.01,79.28,76.44,78.74,343931.0,2023-07-24
78.85,79.9,78.29,79.63,332536.0,2023-07-25
79.34,79.77,78.55,78.78,304773.0,2023-07-26
78.9,80.6,78.87,80.09,356880.0,2023-07-27
79.84,80.71,79.07,80.58,281119.0,2023-07-28
80.65,82.0,80.13,81.8,279501.0,2023-07-31
81.73,82.22,80.59,81.37,285657.0,2023-08-01
82.05,82.43,79.05,79.49,387414.0,2023-08-02
79.77,81.86,78.69,81.55,384148.0,2023-08-03
81.73,83.24,81.51,82.82,300390.0,2023-08-04
82.82,83.3,81.52,81.94,269555.0,2023-08-07
82.53,83.08,79.9,82.92,398075.0,2023-08-08
82.88,84.65,82.67,84.4,447598.0,2023-08-09
84.25,84.89,82.58,82.82,338277.0,2023-08-10
82.83,83.81,82.23,83.19,305685.0,2023-08-11
83.09,83.2,81.76,82.51,255763.0,2023-08-14
82.52,82.91,80.4,80.99,273420.0,2023-08-15
81.23,81.43,79.05,79.38,296040.0,2023-08-16
79.25,81.08,78.95,80.39,219331.0,2023-08-17
80.04,81.61,79.59,81.25,107629.0,2023-08-18
81.43,82.47,80.61,80.72,62736.0,2023-08-21
80.8,81.04,80.1,80.35,15125.0,2023-08-22
79.64,79.91,77.62,78.89,362913.0,2023-08-23
78.57,79.28,77.59,79.05,327437.0,2023-08-24
78.88,80.45,78.14,79.83,390068.0,2023-08-25
80.15,80.87,79.61,80.1,231432.0,2023-08-28
79.98,81.41,79.34,81.16,271757.0,2023-08-29
81.29,82.05,80.88,81.63,285157.0,2023-08-30
81.7,83.69,81.48,83.63,342025.0,2023-08-31
83.63,86.06,83.46,85.55,389406.0,2023-09-01
85.95,88.07,85.02,86.69,430436.0,2023-09-05
86.72,88.08,85.93,87.54,288225.0,2023-09-06
87.54,87.74,86.39,86.87,254899.0,2023-09-07
86.78,87.95,86.15,87.51,270972.0,2023-09-08
87.4,88.15,86.71,87.29,273708.0,2023-09-11
87.27,89.37,87.22,88.84,313171.0,2023-09-12
88.75,89.64,88.29,88.52,311517.0,2023-09-13
88.81,90.79,88.68,90.16,291909.0,2023-09-14
90.67,91.23,89.22,90.77,291843.0,2023-09-15
91.2,92.43,90.75,91.48,102752.0,2023-09-18
92.22,93.74,91.07,91.2,63336.0,2023-09-19
91.55,91.98,89.87,90.28,22148.0,2023-09-20
89.3,90.98,88.37,89.63,334768.0,2023-09-21
89.62,91.33,89.31,90.03,379104.0,2023-09-22
90.55,90.83,89.03,89.68,312103.0,2023-09-25
89.88,90.74,88.19,90.39,302385.0,2023-09-26
90.53,94.17,90.4,93.68,480619.0,2023-09-27
